Blank,ZooWarlock,ShudderwockShaman,EvenWarlock,OddPaladin,TauntDruid,MiracleRogue,OddRogue,Big-SpellMage,KathrenaHunter,SpellHunter,EvenShaman,TokenDruid,AlunethMage,CubeWarlock,TauntWarrior,BigDruid
ZooWarlock,50.0,58.7,38.6,59.5,63.1,62.8,43.8,39.0,60.0,46.2,42.9,52.6,65.6,46.3,43.1,53.9
ShudderwockShaman,41.3,50.0,48.6,47.0,54.5,38.3,52.1,72.9,39.8,52.4,44.0,30.8,42.3,41.8,58.8,36.6
EvenWarlock,61.4,51.4,50.0,61.0,47.2,35.6,42.8,40.4,58.1,51.4,67.2,69.7,42.2,56.0,65.8,48.6
OddPaladin,40.5,53.0,39.0,50.0,53.7,63.3,69.2,46.1,62.0,60.3,54.3,32.8,70.5,53.1,19.7,38.5
TauntDruid,36.9,45.5,52.8,46.3,50.0,38.0,41.1,40.8,51.1,70.4,35.8,61.8,43.1,56.5,61.9,51.6
MiracleRogue,37.2,61.7,64.4,36.7,62.0,50.0,34.0,46.2,51.3,27.5,39.0,39.5,39.9,58.0,45.5,56.3
OddRogue,56.2,47.9,57.2,30.8,58.6,66.0,50.0,44.7,61.9,37.0,53.5,37.0,67.5,63.0,40.4,55.0
Big-SpellMage,61.0,27.1,59.6,53.9,59.2,53.8,55.3,50.0,36.8,52.9,67.3,36.1,22.8,39.8,41.9,54.9
KathrenaHunter,40.0,60.2,41.9,38.0,48.9,48.7,38.1,63.2,50.0,47.2,33.6,49.5,58.8,50.4,74.3,43.5
SpellHunter,53.8,47.6,45.9,39.7,29.6,72.5,63.0,47.1,52.8,50.0,57.3,38.5,70.3,45.9,46.9,43.3
EvenShaman,57.1,56.0,32.8,45.7,64.2,61.0,46.5,32.7,66.4,42.7,50.0,38.7,75.5,41.4,41.2,41.0
TokenDruid,47.4,69.2,30.3,67.2,38.2,60.5,63.0,63.9,50.5,61.5,61.3,50.0,61.5,28.4,28.1,37.8
AlunethMage,34.4,57.7,57.8,29.5,56.9,60.1,32.5,77.2,41.2,29.7,24.5,38.5,50.0,61.5,58.3,52.0
CubeWarlock,53.7,58.2,44.0,46.9,43.5,42.0,37.0,60.2,49.6,54.1,58.6,71.6,38.5,50.0,67.8,52.3
TauntWarrior,56.9,41.2,34.2,80.3,38.1,54.5,59.6,58.1,25.7,53.1,58.8,71.9,46.2,32.2,50.0,49.3
BigDruid,46.1,63.4,51.4,61.5,48.4,43.7,45.0,45.1,56.5,56.7,59.0,62.2,48.0,47.7,50.7,50.0